日期,收盘,开盘,高,低,交易量,涨跌幅
2007年12月6日,4070.16 ,4085.04 ,"4,094.25","4,037.28",967.90M,-0.02%
2007年12月5日,4070.82 ,3963.56 ,"4,074.96","3,954.69",1.40B,2.72%
2007年12月4日,3963.19 ,3921.91 ,"4,018.65","3,921.91",1.08B,1.36%
2007年12月3日,3910.13 ,3859.85 ,"3,943.50","3,838.49",1.04B,0.77%
2007年11月30日,3880.34 ,3968.67 ,"3,968.67","3,867.11",1.34B,-2.40%
2007年11月29日,3975.71 ,3840.39 ,"3,977.89","3,796.25",1.95B,5.06%
2007年11月28日,3784.28 ,3839.51 ,"3,873.78","3,757.96",1.12B,-1.19%
2007年11月27日,3829.73 ,3874.77 ,"3,917.55","3,827.41",913.40M,-2.06%
2007年11月26日,3910.46 ,4020.64 ,"4,038.48","3,904.74",1.06B,-1.29%
2007年11月23日,3961.37 ,3865.41 ,"3,962.70","3,844.18",967.50M,1.68%
2007年11月22日,3895.95 ,3988.14 ,"4,039.70","3,881.45",1.24B,-4.15%
2007年11月21日,4064.78 ,4150.84 ,"4,186.29","4,061.83",1.07B,-1.72%
2007年11月20日,4136.08 ,4059.19 ,"4,167.59","4,006.47",1.48B,1.22%
2007年11月19日,4086.38 ,4141.20 ,"4,155.69","4,066.75",1.14B,-1.14%
2007年11月16日,4133.35 ,4124.42 ,"4,163.96","4,066.54",902.80M,-1.63%
2007年11月15日,4201.79 ,4227.75 ,"4,269.76","4,190.73",1.34B,-1.07%
2007年11月14日,4247.16 ,4142.52 ,"4,249.40","4,063.51",1.70B,4.32%
2007年11月13日,4071.30 ,4145.53 ,"4,206.45","4,006.06",1.85B,-0.88%
2007年11月12日,4107.34 ,4025.83 ,"4,143.32","3,951.33",1.99B,-0.78%
2007年11月9日,4139.57 ,4110.22 ,"4,198.25","4,058.88",1.78B,-0.37%
2007年11月8日,4154.97 ,4353.19 ,"4,353.19","4,150.97",1.73B,-5.22%
2007年11月7日,4383.63 ,4367.62 ,"4,400.62","4,276.76",1.44B,0.89%
2007年11月6日,4344.89 ,4371.91 ,"4,428.32","4,324.23",1.38B,-1.50%
2007年11月5日,4410.97 ,4517.23 ,"4,547.89","4,389.49",1.81B,-2.91%
2007年11月2日,4543.16 ,4536.22 ,"4,599.39","4,500.49",2.35B,-1.39%
